# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   86       3.070791115076e-10       7.539671271922e-14      -1.906565775237e-12       3.031005250031e-16       1.497098851152e-11       1.914656241345e-12      -8.019831357585e-15 
   87       3.108709529492e-10       7.747782393444e-14      -1.988063233329e-12       3.102240635946e-16       1.454375460181e-11       1.869627428465e-12      -8.004749287486e-15 
   88       3.146942540832e-10       7.956446349458e-14      -2.070492452365e-12       3.174332708026e-16       1.413169283251e-11       1.826078357481e-12      -7.985139463817e-15 
   89       3.185482005235e-10       8.165481334941e-14      -2.153804874284e-12       3.247285182428e-16       1.373319856868e-11       1.783860718041e-12      -7.955084954008e-15 
   90       3.224329930677e-10       8.374710669304e-14      -2.237944680624e-12       3.321101532392e-16       1.334805308931e-11       1.742957274383e-12      -7.914130493838e-15 
   91       3.263489643018e-10       8.583956145190e-14      -2.322852875854e-12       3.395785301164e-16       1.297630475280e-11       1.703374950325e-12      -7.863340059814e-15 
   92       3.302962593151e-10       8.793035680190e-14      -2.408468740255e-12       3.471340215823e-16       1.261786857235e-11       1.665106525268e-12      -7.803900179923e-15 
   93       3.342748266741e-10       9.001763335179e-14      -2.494729836048e-12       3.547770191598e-16       1.227252091687e-11       1.628130066270e-12      -7.737123400466e-15 
   94       3.382844093972e-10       9.209949332646e-14      -2.581572013533e-12       3.625079336191e-16       1.193989421181e-11       1.592408360114e-12      -7.664451752913e-15 
   95       3.423245359294e-10       9.417400075026e-14      -2.668929417221e-12       3.703271954100e-16       1.161947164006e-11       1.557888345381e-12      -7.587460220736e-15 
   96       3.463945111162e-10       9.623918163031e-14      -2.756734491966e-12       3.782352550938e-16       1.131058184284e-11       1.524500544519e-12      -7.507860206263e-15 
   97       3.504934071787e-10       9.829302413986e-14      -2.844917989103e-12       3.862325837756e-16       1.101239362055e-11       1.492158495913e-12      -7.427502997512e-15 
   98       3.546200546877e-10       1.003334788015e-13      -2.933408972577e-12       3.943196735362e-16       1.072391063362e-11       1.460758185956e-12      -7.348383235044e-15 
   99       3.587733328855e-10       1.023585057116e-13      -3.022136233508e-12       4.024970405534e-16       1.044419976100e-11       1.430202848166e-12      -7.272238983909e-15 
  100       3.629531070812e-10       1.043662234485e-13      -3.111032749238e-12       4.107652340350e-16       1.017312453647e-11       1.400482596104e-12      -7.199279820692e-15 
  101       3.671594078806e-10       1.063547816943e-13      -3.200031870203e-12       4.191248293594e-16       9.910706236347e-12       1.371605067206e-12      -7.129284193201e-15 
  102       3.713921383546e-10       1.083223168200e-13      -3.289065990758e-12       4.275764259591e-16       9.656897054110e-12       1.343570804837e-12      -7.061985338271e-15 
  103       3.756510686431e-10       1.102669526387e-13      -3.378066572390e-12       4.361206477846e-16       9.411577633486e-12       1.316372997849e-12      -6.997069858966e-15 
  104       3.799358305570e-10       1.121868011591e-13      -3.466964166917e-12       4.447581437698e-16       9.174554601538e-12       1.289997220127e-12      -6.934176301795e-15 
  105       3.842459121816e-10       1.140799633392e-13      -3.555688439698e-12       4.534895882963e-16       8.945558101756e-12       1.264421170138e-12      -6.872893733915e-15 
  106       3.885806524795e-10       1.159445298395e-13      -3.644168192836e-12       4.623156816583e-16       8.724239327136e-12       1.239614410485e-12      -6.812760320342e-15 
  107       3.929392358935e-10       1.177785817770e-13      -3.732331388384e-12       4.712371505275e-16       8.510168053275e-12       1.215538107450e-12      -6.753261901160e-15 
  108       3.973206869493e-10       1.195801914783e-13      -3.820105171552e-12       4.802547484174e-16       8.302830171454e-12       1.192144770551e-12      -6.693830568730e-15 
  109       4.017238648587e-10       1.213474232331e-13      -3.907415893912e-12       4.893692561482e-16       8.101625221722e-12       1.169377992086e-12      -6.633843244896e-15 
  110       4.061476547165e-10       1.230783819466e-13      -3.994189631685e-12       4.985814636403e-16       7.906001764489e-12       1.147185492404e-12      -6.572748396145e-15 
  111       4.105915804814e-10       1.247713645560e-13      -4.080353766214e-12       5.078921116478e-16       7.715888478350e-12       1.125560711970e-12      -6.510467662885e-15 
  112       4.150552607081e-10       1.264247294919e-13      -4.165835650128e-12       5.173019434031e-16       7.531313873433e-12       1.104506079530e-12      -6.447043206466e-15 
  113       4.195382155403e-10       1.280368517227e-13      -4.250562158087e-12       5.268117228998e-16       7.352272285248e-12       1.084020054017e-12      -6.382514004373e-15 
  114       4.240398632463e-10       1.296061239785e-13      -4.334459714855e-12       5.364222351737e-16       7.178722762444e-12       1.064096994873e-12      -6.316915686777e-15 
  115       4.285595167533e-10       1.311309579754e-13      -4.417454323374e-12       5.461342865844e-16       7.010587954578e-12       1.044727032364e-12      -6.250280373089e-15 
  116       4.330963801831e-10       1.326097856401e-13      -4.499471592828e-12       5.559487050959e-16       6.847752999880e-12       1.025895937899e-12      -6.182636508502e-15 
  117       4.376495453868e-10       1.340410603335e-13      -4.580436766723e-12       5.658663405586e-16       6.690064413016e-12       1.007584994350e-12      -6.114008700550e-15 
  118       4.422179884799e-10       1.354232580756e-13      -4.660274750951e-12       5.758880649900e-16       6.537328972854e-12       9.897708663704e-13      -6.044417555651e-15 
  119       4.468005663776e-10       1.367548787695e-13      -4.738910141868e-12       5.860147728561e-16       6.389312610230e-12       9.724254707126e-13      -5.973879515658e-15 
  120       4.513960133293e-10       1.380344474257e-13      -4.816267254358e-12       5.962473813524e-16       6.245739295710e-12       9.555158465465e-13      -5.902406694410e-15 
  121       4.560029374543e-10       1.392605153860e-13      -4.892270149910e-12       6.065868306854e-16       6.106289927359e-12       9.390040257789e-13      -5.830006714284e-15 
