# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  193       7.151970656130e-10       1.407498643793e-12       2.889846057413e-13 
  194       7.173202548982e-10       1.383747556903e-12       2.851625655237e-13 
  195       7.193710466736e-10       1.360464796078e-12       2.813984637976e-13 
  196       7.213488436513e-10       1.337648445683e-12       2.776922274446e-13 
  197       7.232530598727e-10       1.315295645226e-12       2.740436520707e-13 
  198       7.250831208590e-10       1.293402572661e-12       2.704523996112e-13 
  199       7.268384637609e-10       1.271964427677e-12       2.669179959350e-13 
  200       7.285185375087e-10       1.250975414991e-12       2.634398284496e-13 
  201       7.301228029624e-10       1.230428727643e-12       2.600171437060e-13 
  202       7.316507330615e-10       1.210316530293e-12       2.566490450028e-13 
  203       7.331018129752e-10       1.190629942506e-12       2.533344899915e-13 
  204       7.344755402524e-10       1.171359022054e-12       2.500722882810e-13 
  205       7.357714249716e-10       1.152492748206e-12       2.468610990422e-13 
  206       7.369889898910e-10       1.134019005022e-12       2.436994286130e-13 
  207       7.381277705986e-10       1.115924564645e-12       2.405856281025e-13 
  208       7.391873156620e-10       1.098195070598e-12       2.375178909962e-13 
  209       7.401671867786e-10       1.080815021076e-12       2.344942507607e-13 
  210       7.410669589255e-10       1.063767752236e-12       2.315125784479e-13 
  211       7.418862205097e-10       1.047035421498e-12       2.285705803003e-13 
  212       7.426245735178e-10       1.030598990833e-12       2.256657953553e-13 
  213       7.432816708527e-10       1.014441897166e-12       2.227961210375e-13 
  214       7.438573308364e-10       9.985613739644e-13       2.199614343857e-13 
  215       7.443514307327e-10       9.829578622630e-13       2.171620757282e-13 
  216       7.447638705025e-10       9.676313853099e-13       2.143983295366e-13 
  217       7.450945730515e-10       9.525815415679e-13       2.116704234197e-13 
  218       7.453434844783e-10       9.378074977146e-13       2.089785271189e-13 
  219       7.455105743219e-10       9.233079816429e-13       2.063227515025e-13 
  220       7.455958358101e-10       9.090812754613e-13       2.037031475605e-13 
  221       7.455992861071e-10       8.951252084941e-13       2.011197053994e-13 
  222       7.455209665617e-10       8.814371502818e-13       1.985723532366e-13 
  223       7.453609429549e-10       8.680140035816e-13       1.960609563956e-13 
  224       7.451193057478e-10       8.548521973677e-13       1.935853163001e-13 
  225       7.447961703299e-10       8.419476798314e-13       1.911451694691e-13 
  226       7.443916772667e-10       8.292959113817e-13       1.887401865116e-13 
  227       7.439059925476e-10       8.168918576458e-13       1.863699711210e-13 
  228       7.433393078339e-10       8.047299824688e-13       1.840340590702e-13 
  229       7.426918407068e-10       7.928042409148e-13       1.817319172059e-13 
  230       7.419638349152e-10       7.811080722669e-13       1.794629424437e-13 
  231       7.411555606236e-10       7.696343930274e-13       1.772264607622e-13 
  232       7.402673146599e-10       7.583755899185e-13       1.750217261986e-13 
  233       7.392994207638e-10       7.473235128824e-13       1.728479198424e-13 
  234       7.382522298340e-10       7.364694680816e-13       1.707041488309e-13 
  235       7.371261201767e-10       7.258042108995e-13       1.685894453433e-13 
  236       7.359214977533e-10       7.153179389405e-13       1.665027655960e-13 
  237       7.346387964281e-10       7.050002850306e-13       1.644429888368e-13 
  238       7.332784716742e-10       6.948422838871e-13       1.624091284176e-13 
  239       7.318409807531e-10       6.848424188114e-13       1.604009812812e-13 
  240       7.303268018152e-10       6.750009277509e-13       1.584185158726e-13 
  241       7.287364405665e-10       6.653178597561e-13       1.564616630461e-13 
  242       7.270704305031e-10       6.557930721445e-13       1.545303155065e-13 
  243       7.253293331455e-10       6.464262276647e-13       1.526243272517e-13 
  244       7.235137382721e-10       6.372167916607e-13       1.507435130148e-13 
  245       7.216242641539e-10       6.281640292358e-13       1.488876477058e-13 
  246       7.196615577883e-10       6.192670024164e-13       1.470564658543e-13 
  247       7.176262951332e-10       6.105245673166e-13       1.452496610511e-13 
  248       7.155191813414e-10       6.019353713019e-13       1.434668853905e-13 
  249       7.133409509943e-10       5.934978501531e-13       1.417077489126e-13 
  250       7.110923683363e-10       5.852102252309e-13       1.399718190449e-13 
  251       7.087742275089e-10       5.770705006396e-13       1.382586200451e-13 
  252       7.063873527846e-10       5.690764603909e-13       1.365676324423e-13 
  253       7.039325988013e-10       5.612256655688e-13       1.348982924802e-13 
  254       7.014108507961e-10       5.535154514927e-13       1.332499915581e-13 
  255       6.988230248396e-10       5.459429248821e-13       1.316220756739e-13 
  256       6.961700680700e-10       5.385049610204e-13       1.300138448657e-13 
  257       6.934529589273e-10       5.311982009190e-13       1.284245526539e-13 
  258       6.906727073872e-10       5.240190484814e-13       1.268534054837e-13 
  259       6.878303551952e-10       5.169636676672e-13       1.252995621668e-13 
  260       6.849269761010e-10       5.100279796563e-13       1.237621333236e-13 
  261       6.819636760924e-10       5.032076600128e-13       1.222401808255e-13 
  262       6.789415936292e-10       4.964981358491e-13       1.207327172366e-13 
  263       6.758618998780e-10       4.898945829899e-13       1.192387052564e-13 
  264       6.727257989454e-10       4.833919231365e-13       1.177570571614e-13 
  265       6.695345281129e-10       4.769848210306e-13       1.162866342472e-13 
  266       6.662893004002e-10       4.706686790442e-13       1.148264894241e-13 
  267       6.629911283200e-10       4.644426866168e-13       1.133766107437e-13 
  268       6.596409910083e-10       4.583069308920e-13       1.119372171620e-13 
  269       6.562398911690e-10       4.522614130565e-13       1.105085188751e-13 
  270       6.527888552107e-10       4.463060471890e-13       1.090907171719e-13 
  271       6.492889333832e-10       4.404406591093e-13       1.076840042876e-13 
  272       6.457411999141e-10       4.346649852282e-13       1.062885632561e-13 
  273       6.421467531459e-10       4.289786713964e-13       1.049045677633e-13 
  274       6.385067156722e-10       4.233812717541e-13       1.035321819998e-13 
  275       6.348222344746e-10       4.178722475800e-13       1.021715605139e-13 
  276       6.310944810592e-10       4.124509661410e-13       1.008228480648e-13 
  277       6.273246515935e-10       4.071166995411e-13       9.948617947510e-14 
  278       6.235139670430e-10       4.018686235713e-13       9.816167948395e-14 
  279       6.196636733078e-10       3.967058165584e-13       9.684946260010e-14 
  280       6.157750413591e-10       3.916272582146e-13       9.554963295469e-14 
  281       6.118493673764e-10       3.866318284866e-13       9.426228415424e-14 
  282       6.078879728836e-10       3.817183064053e-13       9.298749913357e-14 
  283       6.038922048859e-10       3.768853689350e-13       9.172535000878e-14 
  284       5.998634360065e-10       3.721315898222e-13       9.047589793014e-14 
  285       5.958030646235e-10       3.674554384459e-13       8.923919293507e-14 
  286       5.917125150059e-10       3.628552786661e-13       8.801527380104e-14 
  287       5.875932374509e-10       3.583293676735e-13       8.680416789857e-14 
  288       5.834467084204e-10       3.538758548388e-13       8.560589104408e-14 
  289       5.792744306775e-10       3.494927805618e-13       8.442044735294e-14 
  290       5.750779334234e-10       3.451780751212e-13       8.324782909231e-14 
  291       5.708587724338e-10       3.409295575235e-13       8.208801653413e-14 
  292       5.666185301960e-10       3.367449343524e-13       8.094097780806e-14 
  293       5.623588160449e-10       3.326217986183e-13       7.980666875442e-14 
  294       5.580812663005e-10       3.285576286077e-13       7.868503277709e-14 
  295       5.537875444039e-10       3.245497867319e-13       7.757600069650e-14 
  296       5.494793410542e-10       3.205955183772e-13       7.647949060255e-14 
  297       5.451582704243e-10       3.166924597825e-13       7.539543001004e-14 
  298       5.408255529360e-10       3.128401913985e-13       7.432382382050e-14 
  299       5.364823172990e-10       3.090387579493e-13       7.326468938394e-14 
  300       5.321297030350e-10       3.052881657646e-13       7.221803437835e-14 
  301       5.277688604739e-10       3.015883823192e-13       7.118385669292e-14 
  302       5.234009507489e-10       2.979393357720e-13       7.016214431121e-14 
  303       5.190271457930e-10       2.943409145059e-13       6.915287519428e-14 
  304       5.146486283339e-10       2.907929666674e-13       6.815601716394e-14 
  305       5.102665918908e-10       2.872952997056e-13       6.717152778590e-14 
  306       5.058822407692e-10       2.838476799121e-13       6.619935425292e-14 
  307       5.014967900574e-10       2.804498319604e-13       6.523943326803e-14 
  308       4.971114656218e-10       2.771014384453e-13       6.429169092769e-14 
  309       4.927275041028e-10       2.738021394224e-13       6.335604260497e-14 
  310       4.883461529109e-10       2.705515319477e-13       6.243239283270e-14 
  311       4.839686702217e-10       2.673491696170e-13       6.152063518673e-14 
  312       4.795963249726e-10       2.641945621054e-13       6.062065216900e-14 
  313       4.752303968579e-10       2.610871747068e-13       5.973231509081e-14 
  314       4.708721763248e-10       2.580264278735e-13       5.885548395594e-14 
