# Matter power spectrum P(k) at redshift z=0
# for k=1.09407e-05 to 1.13086 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.491622681894e-01       4.322790215758e+02 
       2.525377238319e-01       4.202346038687e+02 
       2.559131809201e-01       4.092091268186e+02 
       2.592886393973e-01       3.988536806919e+02 
       2.626640992094e-01       3.888579749727e+02 
       2.660395603054e-01       3.789658467608e+02 
       2.694150226367e-01       3.689943340940e+02 
       2.727904861572e-01       3.588435923797e+02 
       2.761659508230e-01       3.484837647390e+02 
       2.795414165924e-01       3.379368971276e+02 
       2.829168834256e-01       3.272873220823e+02 
       2.862923512848e-01       3.166539145829e+02 
       2.896678201340e-01       3.061683316462e+02 
       2.930432899386e-01       2.959841246460e+02 
       2.964187606659e-01       2.862351262942e+02 
       2.997942322846e-01       2.770315276763e+02 
       3.031697047646e-01       2.684435556264e+02 
       3.065451780775e-01       2.605036523664e+02 
       3.099206521958e-01       2.531981032206e+02 
       3.132961270933e-01       2.464808611045e+02 
       3.166716027451e-01       2.402837165741e+02 
       3.200470791271e-01       2.345261675532e+02 
       3.234225562163e-01       2.291219546198e+02 
       3.267980339908e-01       2.239831556533e+02 
       3.301735124293e-01       2.190305641709e+02 
       3.335489915117e-01       2.141854029005e+02 
       3.369244712184e-01       2.093904541577e+02 
       3.402999515309e-01       2.046030978955e+02 
       3.436754324311e-01       1.998036256475e+02 
       3.470509139019e-01       1.949953606947e+02 
       3.504263959266e-01       1.901956860729e+02 
       3.538018784894e-01       1.854368052137e+02 
       3.571773615749e-01       1.807535938309e+02 
       3.605528451684e-01       1.761843040662e+02 
       3.639283292557e-01       1.717581354140e+02 
       3.673038138230e-01       1.675028323033e+02 
       3.706792988573e-01       1.634383088253e+02 
       3.740547843458e-01       1.595795133519e+02 
       3.774302702762e-01       1.559290258356e+02 
       3.808057566369e-01       1.524847130794e+02 
       3.841812434163e-01       1.492319368673e+02 
       3.875567306036e-01       1.461497319345e+02 
       3.909322181880e-01       1.432090336190e+02 
       3.943077061593e-01       1.403838097709e+02 
       3.976831945078e-01       1.376463953060e+02 
       4.010586832237e-01       1.349763742451e+02 
       4.044341722978e-01       1.323560329410e+02 
       4.078096617213e-01       1.297766427146e+02 
       4.111851514855e-01       1.272301699144e+02 
       4.145606415820e-01       1.247134029317e+02 
       4.179361320027e-01       1.222259984413e+02 
       4.213116227398e-01       1.197732643914e+02 
       4.246871137858e-01       1.173577411635e+02 
       4.280626051333e-01       1.149920014511e+02 
       4.314380967752e-01       1.126852462134e+02 
       4.348135887046e-01       1.104455109957e+02 
       4.381890809148e-01       1.082771013870e+02 
       4.415645733995e-01       1.061881203653e+02 
       4.449400661522e-01       1.041737742981e+02 
       4.483155591670e-01       1.022336150311e+02 
       4.516910524380e-01       1.003660854670e+02 
       4.550665459593e-01       9.856436527915e+01 
       4.584420397255e-01       9.682688792253e+01 
       4.618175337312e-01       9.514795142812e+01 
       4.651930279712e-01       9.352075547166e+01 
       4.685685224403e-01       9.193788596829e+01 
       4.719440171337e-01       9.039276274434e+01 
