# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  312       4.790813807459e-10       2.641945621054e-13       6.062065216900e-14 
  313       4.747457053365e-10       2.610871747068e-13       5.973231509081e-14 
  314       4.704181207616e-10       2.580264278735e-13       5.885548395594e-14 
  315       4.660999157314e-10       2.550116967554e-13       5.799000734387e-14 
  316       4.617923893441e-10       2.520423107399e-13       5.713572229290e-14 
  317       4.574968510791e-10       2.491175529910e-13       5.629245418341e-14 
  318       4.532146207897e-10       2.462366599889e-13       5.546001662097e-14 
  319       4.489470286961e-10       2.433988210697e-13       5.463821131954e-14 
  320       4.446954153786e-10       2.406031779646e-13       5.382682798466e-14 
  321       4.404611317704e-10       2.378488243398e-13       5.302564419662e-14 
  322       4.362455391507e-10       2.351348053353e-13       5.223442529363e-14 
  323       4.320500091377e-10       2.324601171052e-13       5.145292425502e-14 
  324       4.278759236813e-10       2.298237063564e-13       5.068088158437e-14 
  325       4.237246750565e-10       2.272244698890e-13       4.991802519277e-14 
  326       4.195976658560e-10       2.246612541347e-13       4.916407028192e-14 
  327       4.154963089836e-10       2.221328546973e-13       4.841871922734e-14 
  328       4.114220276466e-10       2.196380158916e-13       4.768166146157e-14 
  329       4.073762553495e-10       2.171754302831e-13       4.695257335728e-14 
  330       4.033604358863e-10       2.147437382273e-13       4.623111811055e-14 
  331       3.993760233341e-10       2.123415274094e-13       4.551694562395e-14 
  332       3.954243690977e-10       2.099675905889e-13       4.480976169439e-14 
