#scalar perturbations for mode k = 4.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_NEDE            17:theta_NEDE            18:shear_NEDE            19:delta_cdm             20:theta_cdm             21:delta_trigger         22:theta_hat_trigger  
       8.004867148383e-05       1.727087129455e-10      -3.417488178674e-12      -3.651199037003e-20       8.905731868961e-22       2.226432967240e-21       1.159663197297e-36       4.452865934480e-22      -2.563116134006e-12      -3.651199037003e-20       6.013491731755e-01       6.996304945701e-01      -3.417488178674e-12      -5.406526003108e-20       4.107032266158e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.563116134006e-12       0.000000000000e+00      -1.726175848241e-37      -4.186189382276e-41 
       8.222721962856e-05       1.774090321132e-10      -3.606035222997e-12      -3.957235474258e-20       9.653239245614e-22       2.413309811403e-21       1.326350443007e-36       4.826619622807e-22      -2.704526417248e-12      -3.957235474258e-20       6.013371285741e-01       6.996173383307e-01      -3.606035222997e-12      -5.859675802057e-20       4.333573435038e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.704526417249e-12       0.000000000000e+00      -2.032546666609e-37      -5.044971836733e-41 
       8.440576777329e-05       1.821093513197e-10      -3.799644744934e-12      -4.279936160762e-20       1.044140792134e-21       2.610351980336e-21       1.511671139233e-36       5.220703960671e-22      -2.849733558701e-12      -4.279936160762e-20       6.013266468334e-01       6.996059713058e-01      -3.799644744934e-12      -6.337498846298e-20       4.566203784231e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.849733558702e-12       0.000000000000e+00      -2.383562057456e-37      -6.051108665884e-41 
       8.658431591802e-05       1.868096705651e-10      -3.998316744161e-12      -4.619735437600e-20       1.127132670938e-21       2.817831677345e-21       1.717147142065e-36       5.635663354690e-22      -2.998737558121e-12      -4.619735437600e-20       6.013171782705e-01       6.995958327517e-01      -3.998316744161e-12      -6.840638485183e-20       4.804924225039e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.998737558122e-12       0.000000000000e+00      -2.784291810664e-37      -7.225000540258e-41 
       9.029538867303e-05       1.948164832347e-10      -4.348403800403e-12      -5.239426905816e-20       1.278388519922e-21       3.195971299805e-21       2.118107629173e-36       6.391942599609e-22      -3.261302850302e-12      -5.239426905816e-20       6.013118754130e-01       6.995897488227e-01      -4.348403800402e-12      -7.758211372320e-20       5.225595409043e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.261302850303e-12       0.000000000000e+00      -3.589320716456e-37      -9.685286787038e-41 
       9.400646142803e-05       2.028232960171e-10      -4.713181054735e-12      -5.912196532369e-20       1.442604645702e-21       3.606511614255e-21       2.590697835961e-36       7.213023228511e-22      -3.534885791051e-12      -5.912196532369e-20       6.013067873662e-01       6.995841730810e-01      -4.713181054734e-12      -8.754374645207e-20       5.663930292291e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.534885791052e-12       0.000000000000e+00      -4.580052561349e-37      -1.283167360578e-40 
       9.771753418303e-05       2.108301089124e-10      -5.092648505819e-12      -6.640192651245e-20       1.620319041951e-21       4.050797604877e-21       3.144123277747e-36       8.101595209755e-22      -3.819486379364e-12      -6.640192651244e-20       6.013009602280e-01       6.995780688941e-01      -5.092648505818e-12      -9.832309891385e-20       6.119927386480e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.819486379366e-12       0.000000000000e+00      -5.789737844268e-37      -1.681558983181e-40 
       9.883085600953e-05       2.132321528030e-10      -5.209353329475e-12      -6.869561192104e-20       1.676365515350e-21       4.190913788374e-21       3.327421859578e-36       8.381827576749e-22      -3.907014997106e-12      -6.869561192104e-20       6.012954526422e-01       6.995725287343e-01      -5.209353329474e-12      -1.017193299712e-19       6.260171665743e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.907014997108e-12       0.000000000000e+00      -6.205317614516e-37      -1.819370376099e-40 
       9.994417783603e-05       2.156341967038e-10      -5.327380270713e-12      -7.104171802640e-20       1.733686476029e-21       4.334216190071e-21       3.519164725489e-36       8.668432380143e-22      -3.995535203035e-12      -7.104171802640e-20       6.012905983439e-01       6.995676767729e-01      -5.327380270712e-12      -1.051931795937e-19       6.402006931270e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -3.995535203036e-12       0.000000000000e+00      -6.645065748780e-37      -1.966849575785e-40 
       1.010574996625e-04       2.180362406147e-10      -5.446729329455e-12      -7.344075328614e-20       1.792297613279e-21       4.480744033197e-21       3.719643011228e-36       8.961488066394e-22      -4.085046997091e-12      -7.344075328614e-20       6.012861241214e-01       6.995632377139e-01      -5.446729329453e-12      -1.087454010042e-19       6.545433201451e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -4.085046997093e-12       0.000000000000e+00      -7.110309623997e-37      -2.124520326104e-40 
